merge	heap	quick
0.49913	0.82519	0.24819
0.49247	0.82454	0.22851
0.49397	0.83160	0.22899
0.49549	0.83213	0.24015
0.49481	0.82734	0.23924
0.49509	0.82288	0.24008
0.49524	0.82208	0.23597
0.49774	0.83329	0.24154
0.49371	0.82287	0.24973
0.49535	0.82878	0.23112
0.49721	0.82916	0.26666
0.49642	0.82187	0.24857
0.49560	0.82454	0.23200
0.49323	0.82622	0.23011
0.49608	0.83101	0.23791
0.49685	0.82837	0.23963
0.49415	0.83531	0.23881
0.49843	0.82600	0.24093
0.50231	0.82469	0.23942
0.49308	0.82359	0.24363
0.49519	0.82202	0.24629
0.49907	0.83353	0.25042
0.49571	0.83232	0.23685
0.49612	0.82502	0.23573
0.49340	0.82376	0.23567
0.49691	0.83060	0.23343
0.49384	0.82358	0.24799
0.49791	0.83151	0.25037
0.49336	0.82350	0.23512
0.49376	0.83079	0.26128
0.49503	0.82476	0.23510
0.49505	0.82026	0.24349
0.49394	0.82730	0.22697
0.49431	0.82338	0.23742
0.49798	0.82994	0.23001
0.49434	0.82586	0.23673
0.49782	0.82674	0.23569
0.49516	0.82310	0.25326
0.49607	0.82603	0.23471
0.49690	0.82496	0.23862
0.49377	0.82458	0.23501
0.49315	0.82453	0.23502
0.49514	0.82564	0.23032
0.49724	0.82449	0.23425
0.49585	0.82220	0.24010
0.49805	0.82364	0.24785
0.49750	0.82551	0.23466
0.49558	0.82427	0.24037
0.49582	0.82087	0.23650
0.49544	0.82305	0.24279
0.49772	0.82735	0.24516
0.49647	0.82348	0.23700
0.51351	0.82414	0.24218
0.49563	0.82990	0.24267
0.49645	0.82780	0.23195
0.49461	0.82575	0.24578
0.49791	0.82605	0.23575
0.50009	0.82455	0.24955
0.49927	0.83024	0.25410
0.49529	0.83678	0.24394
0.49974	0.82522	0.24473
0.52901	0.81956	0.23270
0.49642	0.82293	0.23661
0.50060	0.82423	0.24007
0.49584	0.82476	0.23474
0.49707	0.83341	0.24461
0.49489	0.82244	0.23370
0.49315	0.82583	0.23693
0.49782	0.82570	0.23618
0.49352	0.82225	0.24580
0.49457	0.82659	0.23448
0.49763	0.83022	0.23851
0.49727	0.82455	0.23646
0.49339	0.82747	0.23357
0.49578	0.82481	0.23502
0.49497	0.82063	0.22849
0.49315	0.82443	0.25821
0.49547	0.82693	0.24324
0.49561	0.82437	0.23598
0.49395	0.82442	0.25087
0.49455	0.82401	0.25761
0.49660	0.82157	0.23556
0.49506	0.82554	0.23910
0.49650	0.82251	0.23576
0.49369	0.82788	0.23687
0.49256	0.82792	0.25233
0.50155	0.82463	0.25175
0.49928	0.82683	0.24213
0.49454	0.82965	0.24229
0.49618	0.82038	0.23830
0.49651	0.82202	0.23484
0.49363	0.82549	0.23218
0.49794	0.82494	0.25235
0.49683	0.82981	0.24876
0.49563	0.82891	0.24207
0.49877	0.82262	0.23583
0.49788	0.82877	0.25829
0.49591	0.82187	0.23416
0.49232	0.82921	0.25368
0.49501	0.82907	0.23524
